iter	Passed	Remaining
0	10	10838
1	19	9903
2	28	9628
3	45	11355
4	54	10817
5	62	10388
6	70	9983
7	80	9979
8	89	9815
9	96	9548
10	104	9426
11	112	9236
12	119	9096
13	126	8902
14	134	8834
15	141	8677
16	148	8579
17	158	8638
18	167	8623
19	175	8622
20	184	8612
21	191	8521
22	199	8461
23	206	8409
24	220	8608
25	234	8781
26	242	8729
27	250	8684
28	256	8599
29	263	8533
30	271	8490
31	280	8484
32	287	8410
33	293	8342
34	300	8287
35	307	8237
36	314	8181
37	320	8124
38	328	8091
39	334	8032
40	344	8046
41	352	8042
42	360	8015
43	368	8001
44	378	8024
45	385	7993
46	392	7950
47	398	7912
48	408	7926
49	420	7982
50	429	7997
51	437	7978
52	445	7953
53	454	7957
54	462	7947
55	474	7991
56	482	7974
57	492	7992
58	498	7957
59	508	7966
60	515	7936
61	526	7970
62	534	7943
63	544	7959
64	553	7968
65	561	7945
66	575	8019
67	586	8039
68	594	8021
69	610	8114
70	620	8120
71	630	8132
72	642	8157
73	651	8151
74	660	8140
75	667	8110
76	674	8088
77	681	8054
78	689	8036
79	696	8006
80	706	8010
81	716	8016
82	727	8035
83	736	8032
84	743	8003
85	751	7984
86	758	7957
87	764	7928
88	772	7903
89	781	7898
90	789	7887
91	796	7862
92	807	7874
93	815	7862
94	823	7840
95	830	7819
96	840	7821
97	847	7804
98	855	7781
99	861	7756
100	868	7732
101	877	7725
102	887	7724
103	894	7702
104	901	7681
105	907	7657
106	915	7637
107	923	7626
108	936	7651
109	943	7637
110	954	7643
111	961	7624
112	970	7615
113	983	7640
114	992	7638
115	1003	7644
116	1015	7661
117	1033	7722
118	1040	7706
119	1053	7728
120	1063	7723
121	1071	7711
122	1082	7720
123	1089	7697
124	1104	7734
125	1116	7743
126	1127	7751
127	1137	7747
128	1145	7732
129	1152	7710
130	1162	7711
131	1169	7692
132	1183	7713
133	1194	7721
134	1201	7697
135	1210	7689
136	1220	7689
137	1232	7700
138	1243	7704
139	1250	7681
140	1260	7676
141	1266	7653
142	1277	7653
143	1283	7631
